srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,client-hello-extensions,,,client-hello-cipher-suites,,,client-hello-version,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.76.166.167,,,6,,,45884,,,50443,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.74.226.7,,,6,,,48050,,,50443,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,192.168.1.143,,,54.254.250.149,,,6,,,41470,,,50443,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,54.254.250.149,,,192.168.1.143,,,6,,,50443,,,53422,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,54.254.250.149,,,192.168.1.143,,,6,,,50443,,,53424,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.74.226.7,,,6,,,41483,,,50443,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,54.254.250.149,,,192.168.1.143,,,6,,,50443,,,46390,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,192.168.1.143,,,54.254.250.149,,,6,,,41995,,,50443,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,192.168.1.143,,,54.254.250.149,,,6,,,41998,,,50443,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.76.166.167,,,6,,,48493,,,50443,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,52.76.166.167,,,192.168.1.143,,,6,,,50443,,,45548,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,192.168.1.143,,,54.251.165.219,,,6,,,34363,,,50443,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.76.166.167,,,6,,,52456,,,50443,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.220.62.189,,,6,,,40647,,,50443,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,52.76.166.167,,,192.168.1.143,,,6,,,50443,,,48950,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.74.226.7,,,6,,,54704,,,50443,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.74.226.7,,,6,,,54701,,,50443,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,52.74.226.7,,,192.168.1.143,,,6,,,50443,,,52626,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,52.77.52.155,,,192.168.1.143,,,6,,,50443,,,45499,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,192.168.1.143,,,54.254.250.149,,,6,,,39091,,,50443,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,52.77.52.155,,,192.168.1.143,,,6,,,50443,,,52699,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,52.76.166.167,,,192.168.1.143,,,6,,,50443,,,59829,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,192.168.1.143,,,52.77.52.155,,,6,,,54224,,,50443,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,52.77.52.155,,,192.168.1.143,,,6,,,50443,,,43594,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,54.254.250.149,,,192.168.1.143,,,6,,,50443,,,34496,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
null,,,null,,,0x0800,,,192.168.1.143,,,54.254.250.149,,,6,,,41196,,,50443,,,00230000,,,00390038003500160013000a00330032002f0007000500040015001200090014001100080006000300ff,,,0301,,
